Date,Action,Ticker,Price,Reason,Balance
2025-01-02,BUY,TSLA,379.2799987792969,AI信心 31.4%,0.0
2025-01-13,SELL,TSLA,403.30999755859375,⏰ 到期 (11天),1063.3568837181945
2025-01-13,BUY,TSLA,403.30999755859375,AI信心 26.3%,0.0
2025-01-23,SELL,TSLA,412.3800048828125,⏰ 到期 (10天),1087.2706343863297
2025-01-29,BUY,MU,88.71923828125,AI信心 14.9%,0.0
2025-02-10,SELL,MU,95.61663055419922,⏰ 到期 (12天),1171.7994493029676
2025-02-10,BUY,AMD,110.4800033569336,AI信心 12.0%,0.0
2025-02-20,SELL,AMD,114.16999816894531,⏰ 到期 (10天),1210.9371552883356
2025-02-24,BUY,V,347.26104736328125,AI信心 11.8%,0.0
2025-03-06,SELL,V,341.6034240722656,⏰ 到期 (10天),1191.2084056755164
2025-03-06,BUY,V,341.6034240722656,AI信心 11.5%,0.0
2025-03-17,SELL,V,332.0647888183594,⏰ 到期 (11天),1157.9461439637537
2025-04-04,BUY,MU,64.59257507324219,AI信心 20.9%,0.0
2025-04-10,SELL,MU,69.9120864868164,📉 回調止盈 (高點回落 -10.0%),1253.308617469956
2025-04-14,BUY,MU,70.88016510009766,AI信心 16.9%,0.0
2025-04-21,SELL,MU,66.60858917236328,🛑 觸及止損 (-6.0%),1177.7782781592857
2025-04-21,BUY,MU,66.60858917236328,AI信心 19.6%,0.0
2025-05-01,SELL,MU,77.61688232421875,⏰ 到期 (10天),1372.4277777953546
2025-05-01,BUY,MU,77.61688232421875,AI信心 11.0%,0.0
2025-05-12,SELL,MU,92.10829162597656,⏰ 到期 (11天),1628.666009344738
2025-05-21,BUY,TSLA,334.6199951171875,AI信心 14.1%,0.0
2025-06-02,SELL,TSLA,342.69000244140625,⏰ 到期 (12天),1667.944435069164
2025-06-02,BUY,TSLA,342.69000244140625,AI信心 10.6%,0.0
2025-06-05,SELL,TSLA,284.70001220703125,🛑 觸及止損 (-16.9%),1385.6949360699073
2025-06-09,BUY,AVGO,242.82493591308594,AI信心 15.9%,0.0
2025-06-20,SELL,AVGO,249.08583068847656,⏰ 到期 (11天),1421.4231044019712
2025-07-25,BUY,TSLA,316.05999755859375,AI信心 10.6%,0.0
2025-08-01,SELL,TSLA,302.6300048828125,📉 動態止損 (高點回落 -7.1%),1361.0241231048658
2025-08-01,BUY,TSLA,302.6300048828125,AI信心 10.8%,0.0
2025-08-11,SELL,TSLA,339.0299987792969,⏰ 到期 (10天),1524.7265616425414
2025-08-13,BUY,TSLA,339.3800048828125,AI信心 10.1%,0.0
2025-08-21,SELL,TSLA,320.1099853515625,🛑 觸及止損 (-5.7%),1438.1524847966978
2025-10-03,BUY,MU,187.754150390625,AI信心 12.8%,0.0
2025-10-10,SELL,MU,181.52667236328125,📉 動態止損 (高點回落 -7.6%),1390.4514726997186
2025-10-10,BUY,MU,181.52667236328125,AI信心 10.8%,0.0
2025-10-20,SELL,MU,206.68650817871094,⏰ 到期 (10天),1583.1698776977253
2025-10-20,BUY,MU,206.68650817871094,AI信心 11.8%,0.0
2025-10-30,SELL,MU,223.91954040527344,⏰ 到期 (10天),1715.1708378131184
2025-10-30,BUY,INTC,40.15999984741211,AI信心 15.9%,0.0
2025-11-04,SELL,INTC,37.029998779296875,🛑 觸及止損 (-7.8%),1581.4933832625027
2025-11-04,BUY,GOOGL,277.35858154296875,AI信心 15.5%,0.0
2025-11-14,SELL,GOOGL,276.22930908203125,⏰ 到期 (10天),1575.054293060433
2025-11-14,BUY,GOOGL,276.22930908203125,AI信心 13.9%,0.0
2025-11-24,SELL,GOOGL,318.3717346191406,⏰ 到期 (10天),1815.349605975588
2025-11-26,BUY,GOOGL,319.7408752441406,AI信心 12.6%,0.0
2025-12-08,SELL,GOOGL,313.7200012207031,⏰ 到期 (12天),1781.165702282542
2025-12-08,BUY,GOOGL,313.7200012207031,AI信心 13.7%,0.0
2025-12-17,SELL,GOOGL,296.7200012207031,🛑 觸及止損 (-5.4%),1684.647097090069
2025-12-17,BUY,JNJ,210.3300018310547,AI信心 12.5%,0.0
2025-12-29,SELL,JNJ,207.55999755859375,⏰ 到期 (12天),1662.4606300339963
2026-01-07,BUY,MU,339.54998779296875,AI信心 28.3%,0.0
2026-01-20,SELL,MU,365.0,⏰ 到期 (13天),1787.065680392211
2026-01-20,BUY,MU,365.0,AI信心 30.4%,0.0
2026-01-30,SELL,MU,414.8800048828125,⏰ 到期 (10天),2031.2816937178827
2026-01-30,BUY,MU,414.8800048828125,AI信心 44.8%,0.0
2026-02-04,SELL,MU,379.3999938964844,🛑 觸及止損 (-8.6%),1857.5690636532097
2026-02-04,BUY,MU,379.3999938964844,AI信心 46.3%,0.0
